case_id,group,split,variant,status,physical_hash,latency_s,candidate_count,positive_count,recall_at_10,recall_at_20,physical_cache_hit
eval-grade_separation-1,grade_separation,train,A2,PASS,b17726b8b7c7842646f03db904b9e61319b0202c0e779fdf52d4f32c914cb4ee,0.0059270840138196945,23,0,,,True
eval-grade_separation-1,grade_separation,train,A5,PASS,b17726b8b7c7842646f03db904b9e61319b0202c0e779fdf52d4f32c914cb4ee,0.0056725830072537065,23,0,,,True
eval-grade_separation-1,grade_separation,train,A3,DEFERRED_USER,b17726b8b7c7842646f03db904b9e61319b0202c0e779fdf52d4f32c914cb4ee,,,,,,
eval-grade_separation-1,grade_separation,train,A4,DEFERRED_USER,b17726b8b7c7842646f03db904b9e61319b0202c0e779fdf52d4f32c914cb4ee,,,,,,
eval-grade_separation-2,grade_separation,train,A0,PASS,579ea62aa725460d81b1b4560fbe48edf53caa89d9bb812dee65ea2326f159c5,0.003971666999859735,23,0,,,False
eval-grade_separation-2,grade_separation,train,A1,PASS,579ea62aa725460d81b1b4560fbe48edf53caa89d9bb812dee65ea2326f159c5,0.004688375018304214,23,0,,,True
eval-grade_separation-2,grade_separation,train,A2,PASS,579ea62aa725460d81b1b4560fbe48edf53caa89d9bb812dee65ea2326f159c5,0.006259290996240452,23,0,,,True
eval-grade_separation-2,grade_separation,train,A5,PASS,579ea62aa725460d81b1b4560fbe48edf53caa89d9bb812dee65ea2326f159c5,0.0057507919846102595,23,0,,,True
eval-grade_separation-2,grade_separation,train,A3,DEFERRED_USER,579ea62aa725460d81b1b4560fbe48edf53caa89d9bb812dee65ea2326f159c5,,,,,,
eval-grade_separation-2,grade_separation,train,A4,DEFERRED_USER,579ea62aa725460d81b1b4560fbe48edf53caa89d9bb812dee65ea2326f159c5,,,,,,
eval-grade_separation-3,grade_separation,train,A0,PASS,fbf7923f7f5f71878481fedefcdc4b85371a6a4c4295e5938e8e04d2b25f7c45,0.0037589579878840595,23,0,,,False
eval-grade_separation-3,grade_separation,train,A1,PASS,fbf7923f7f5f71878481fedefcdc4b85371a6a4c4295e5938e8e04d2b25f7c45,0.003146500006550923,23,0,,,True
eval-grade_separation-3,grade_separation,train,A2,PASS,fbf7923f7f5f71878481fedefcdc4b85371a6a4c4295e5938e8e04d2b25f7c45,0.005783542001154274,23,0,,,True
eval-grade_separation-3,grade_separation,train,A5,PASS,fbf7923f7f5f71878481fedefcdc4b85371a6a4c4295e5938e8e04d2b25f7c45,0.005507624999154359,23,0,,,True
eval-grade_separation-3,grade_separation,train,A3,DEFERRED_USER,fbf7923f7f5f71878481fedefcdc4b85371a6a4c4295e5938e8e04d2b25f7c45,,,,,,
eval-grade_separation-3,grade_separation,train,A4,DEFERRED_USER,fbf7923f7f5f71878481fedefcdc4b85371a6a4c4295e5938e8e04d2b25f7c45,,,,,,
eval-time_boundary-0,time_boundary,dev,A0,PASS,95f6eafff5b8a11f44a3735310c2a19cf00336b3a2e1a118dc8295cf5d423a43,0.003483042004518211,23,0,,,False
eval-time_boundary-0,time_boundary,dev,A1,PASS,95f6eafff5b8a11f44a3735310c2a19cf00336b3a2e1a118dc8295cf5d423a43,0.003024292003829032,23,0,,,True
